"","RealVsBach","RealVsZan","RealVsLehm","BachVsLehm","BachVsZan","ZanVsLeh"
"1",0.841634873363167,0.623287206299481,0.593885674935069,0.631690964038232,0.669726836535439,0.893618123285982
"2",0.739856801072078,0.657903510096608,0.615701938431974,0.658814992732861,0.645786387507619,0.881996417399372
"3",0.810629570771571,0.758874499887522,0.646739057871222,0.661350085498889,0.785469627089047,0.928624750083731
"4",0.912657136221465,0.760998843160958,0.641736366889245,0.685368011025076,0.787888759944345,0.891824615185526
"5",0.813707593311626,0.763155539218348,0.639422708765608,0.664505608727905,0.760019495880214,0.895999125408819
"6",0.732296919477219,0.615130441233598,0.583568318613831,0.584160308997563,0.668605281633299,0.868484262695749
"7",0.808089508290629,0.66061538958983,0.656678893797844,0.662300915130651,0.728626658689136,0.925823027397499
"8",0.708693720642131,0.709304559306725,0.676655699567625,0.641329019448622,0.68240426725565,0.852922203437871
"9",0.752406463229215,0.609537929705536,0.651326219251603,0.611881841136379,0.596521611960024,0.88123023994251
"10",0.796000878435595,0.773147624541419,0.619415889073656,0.695146569997242,0.781943181039882,0.875956911769486
