t	pi	freq
8700	0.00079968	0.0004
8725	0	0
8750	0.00039992	0.0002
8775	0	0
8800	0	0
8825	0	0
8850	0	0
8875	0.00039992	0.0002
8900	0	0
8925	0	0
8950	0	0
8975	0	0
9000	0.00019998	0.0001
9025	0	0
9050	0	0
9075	0.00079968	0.0004
9100	0	0
9125	0	0
9150	0	0
9175	0	0
9200	0.00079968	0.0004
9225	0	0
9250	0.00019998	0.0001
9275	0	0
9300	0.00019998	0.0001
9325	0	0
9350	0	0
9375	0.00039992	0.0002
9400	0.00019998	0.0001
9425	0	0
9450	0	0
9475	0	0
9500	0.00019998	0.0001
9525	0.00079968	0.0004
9550	0	0
9575	0	0
9600	0	0
9625	0	0
9650	0	0
9675	0	0
9700	0.00019998	0.0001
9725	0	0
9750	0	0
9775	0	0
9800	0.00019998	0.0001
9825	0	0
9850	0	0
9875	0	0
9900	0	0
9925	0	0
9950	0	0
9975	0	0
10000	0.00159872	0.0008
10025	0	0
10050	0.00039992	0.0002
10075	0.00139902	0.0007
10100	0	0
10125	0	0
10150	0	0
10175	0	0
10200	0	0
10225	0	0
10250	0.0009995	0.0005
10275	0	0
10300	0	0
10325	0	0
10350	0.00039992	0.0002
10375	0	0
10400	0	0
10425	0	0
10450	0	0
10475	0	0
10500	0	0
10525	0	0
10550	0.00039992	0.0002
10575	0.00039992	0.0002
10600	0.00019998	0.0001
10625	0	0
10650	0.00059982	0.0003
10675	0	0
10700	0.00019998	0.0001
10725	0	0
10750	0	0
10775	0	0
10800	0.00059982	0.0003
10825	0	0
10850	0	0
10875	0	0
10900	0	0
10925	0.00039992	0.0002
10950	0	0
10975	0	0
11000	0	0
11025	0	0
11050	0	0
11075	0.00019998	0.0001
11100	0	0
11125	0	0
11150	0	0
11175	0	0
11200	0	0
11225	0	0
11250	0.00039992	0.0002
11275	0.00039992	0.0002
11300	0	0
11325	0.00019998	0.0001
11350	0	0
11375	0	0
11400	0.0009995	0.0005
11425	0	0
11450	0	0
11475	0	0
11500	0.00059982	0.0003
11525	0	0
11550	0.00039992	0.0002
11575	0	0
11600	0.00039992	0.0002
11625	0	0
11650	0.00039992	0.0002
11675	0	0
11700	0.00019998	0.0001
11725	0	0
11750	0	0
11775	0	0
11800	0.00019998	0.0001
11825	0.00019998	0.0001
11850	0	0
11875	0	0
11900	0	0
11925	0.00039992	0.0002
11950	0.00039992	0.0002
11975	0	0
12000	0	0
12025	0	0
12050	0.00019998	0.0001
12075	0.00039992	0.0002
12100	0.00019998	0.0001
12125	0	0
12150	0	0
12175	0.00079968	0.0004
12200	0	0
12225	0	0
12250	0	0
12275	0.00019998	0.0001
12300	0	0
12325	0	0
12350	0	0
12375	0	0
12400	0	0
12425	0.00019998	0.0001
12450	0	0
12475	0	0
12500	0.00079968	0.0004
12525	0	0
12550	0.00039992	0.0002
12575	0	0
12600	0.00139902	0.0007
12625	0.00059982	0.0003
12650	0	0
12675	0	0
12700	0	0
12725	0	0
12750	0.00039992	0.0002
12775	0	0
12800	0	0
12825	0.00019998	0.0001
12850	0.00079968	0.0004
12875	0	0
12900	0	0
12925	0.00079968	0.0004
12950	0	0
12975	0	0
13000	0	0
